user_id,date,arm,click
1,2024-06-30,arm_3,1
2,2024-06-30,arm_3,0
3,2024-06-30,arm_2,0
4,2024-06-30,arm_2,1
5,2024-06-30,arm_2,0
6,2024-06-30,arm_3,0
7,2024-06-30,arm_3,0
8,2024-06-30,arm_3,0
9,2024-06-30,arm_1,0
10,2024-06-30,arm_3,0
11,2024-06-30,arm_3,0
12,2024-06-30,arm_3,0
13,2024-06-30,arm_3,1
14,2024-06-30,arm_1,0
15,2024-06-30,arm_3,1
16,2024-06-30,arm_1,0
17,2024-06-30,arm_3,0
18,2024-06-30,arm_2,0
19,2024-06-30,arm_3,0
20,2024-06-30,arm_3,0
21,2024-06-30,arm_3,1
22,2024-06-30,arm_2,1
23,2024-06-30,arm_2,0
24,2024-06-30,arm_2,0
25,2024-06-30,arm_1,0
26,2024-06-30,arm_3,1
27,2024-06-30,arm_3,0
28,2024-06-30,arm_1,1
29,2024-06-30,arm_3,0
30,2024-06-30,arm_3,1
31,2024-06-30,arm_3,1
32,2024-06-30,arm_1,0
33,2024-06-30,arm_2,0
34,2024-06-30,arm_1,0
35,2024-06-30,arm_3,1
36,2024-06-30,arm_2,1
37,2024-06-30,arm_3,0
38,2024-06-30,arm_2,1
39,2024-06-30,arm_2,1
40,2024-06-30,arm_3,1
41,2024-06-30,arm_2,1
42,2024-06-30,arm_2,0
43,2024-06-30,arm_3,1
44,2024-06-30,arm_1,0
45,2024-06-30,arm_2,1
46,2024-06-30,arm_2,0
47,2024-06-30,arm_3,0
48,2024-06-30,arm_2,1
49,2024-06-30,arm_2,1
50,2024-06-30,arm_1,1
51,2024-06-30,arm_2,1
52,2024-06-30,arm_3,0
53,2024-06-30,arm_3,0
54,2024-06-30,arm_2,0
55,2024-06-30,arm_3,0
56,2024-06-30,arm_2,1
57,2024-06-30,arm_2,0
58,2024-06-30,arm_2,0
59,2024-06-30,arm_1,0
60,2024-06-30,arm_1,1
61,2024-06-30,arm_3,1
62,2024-06-30,arm_1,0
63,2024-06-30,arm_2,0
64,2024-06-30,arm_2,1
65,2024-06-30,arm_3,0
66,2024-06-30,arm_1,0
67,2024-06-30,arm_3,0
68,2024-06-30,arm_1,0
69,2024-06-30,arm_3,1
70,2024-06-30,arm_2,1
71,2024-06-30,arm_2,0
72,2024-06-30,arm_2,0
